PC_CODE,COMMODITY,STATE,Country,UNIT,Quantity,Trade_Value_USD,,,
A1,TEA,ANDHRA PRADESH,AUSTRALIA,KGS,2153,17714,,,
A1,TEA,ANDHRA PRADESH,CHINA P RP,KGS,151,18055,,,
A1,TEA,ANDHRA PRADESH,COSTA RICA,KGS,5457,47855,,,
A1,TEA,ANDHRA PRADESH,CROATIA,KGS,67929,409719,,,
A1,TEA,ANDHRA PRADESH,GERMANY,KGS,99488,604406,,,
A1,TEA,ANDHRA PRADESH,ITALY,KGS,1761564,10419582,,,
A1,TEA,ANDHRA PRADESH,MALDIVES,KGS,120,535,,,
A1,TEA,ANDHRA PRADESH,MAURITIUS,KGS,2005,18343,,,
A1,TEA,ANDHRA PRADESH,MEXICO,KGS,225331,3084545,,,
A1,TEA,ANDHRA PRADESH,PHILIPPINES,KGS,4618,38632,,,
A1,TEA,ANDHRA PRADESH,RUSSIA,KGS,0,2,,,
A1,TEA,ANDHRA PRADESH,SAUDI ARAB,KGS,14224,67692,,,
A1,TEA,ANDHRA PRADESH,SINGAPORE,KGS,409,35575,,,
A1,TEA,ANDHRA PRADESH,SLOVAK REP,KGS,1000,5426,,,
A1,TEA,ANDHRA PRADESH,U ARAB EMTS,KGS,718,11867,,,
A1,TEA,ANDHRA PRADESH,U K,KGS,6904,24705,,,
A1,TEA,ANDHRA PRADESH,U S A,KGS,881,17672,,,
A1,TEA,ANDHRA PRADESH,VIETNAM SOC REP,KGS,5,197,,,
A1,TEA,ARUNACHAL PRADESH,GERMANY,KGS,64,794,,,
A1,TEA,ARUNACHAL PRADESH,MALAYSIA,KGS,39000,54588,,,
A1,TEA,ASSAM,AFGHANISTAN,KGS,25500,46414,,,
A1,TEA,ASSAM,ALBANIA,KGS,329194,1518375,,,
A1,TEA,ASSAM,ANGOLA,KGS,188677,948915,,,
A1,TEA,ASSAM,AUSTRALIA,KGS,148625,857560,,,
A1,TEA,ASSAM,AUSTRIA,KGS,8,806,,,
A1,TEA,ASSAM,AZERBAIJAN,KGS,274424,856952,,,
A1,TEA,ASSAM,BAHARAIN IS,KGS,191872,1069561,,,
A1,TEA,ASSAM,BANGLADESH PR,KGS,156000,913545,,,
A1,TEA,ASSAM,BARBADOS,KGS,251,11280,,,
A1,TEA,ASSAM,BENIN,KGS,122490,633948,,,
A1,TEA,ASSAM,BHUTAN,KGS,14016,55863,,,
A1,TEA,ASSAM,BULGARIA,KGS,70810,452039,,,
A1,TEA,ASSAM,BURKINA FASO,KGS,81412,432589,,,
A1,TEA,ASSAM,CANADA,KGS,349928,1693995,,,
A1,TEA,ASSAM,CHILE,KGS,1530,7475,,,
A1,TEA,ASSAM,CHINA P RP,KGS,7237671,24170835,,,
A1,TEA,ASSAM,COLOMBIA,KGS,130000,213797,,,
A1,TEA,ASSAM,COTE D' IVOIRE,KGS,705750,1310856,,,
A1,TEA,ASSAM,CZECH REPUBLIC,KGS,6029,39045,,,
A1,TEA,ASSAM,DENMARK,KGS,2320,28089,,,
A1,TEA,ASSAM,EGYPT A RP,KGS,319820,443940,,,
A1,TEA,ASSAM,ESTONIA,KGS,13,569,,,
A1,TEA,ASSAM,FINLAND,KGS,34,913,,,
A1,TEA,ASSAM,FRANCE,KGS,24617,267770,,,
A1,TEA,ASSAM,GAMBIA,KGS,15259,103621,,,
A1,TEA,ASSAM,GEORGIA,KGS,151480,507402,,,
A1,TEA,ASSAM,GERMANY,KGS,1973357,10988999,,,
A1,TEA,ASSAM,GHANA,KGS,863071,3830900,,,
A1,TEA,ASSAM,GUINEA,KGS,63720,323458,,,
A1,TEA,ASSAM,HONG KONG,KGS,2364,168815,,,
A1,TEA,ASSAM,HUNGARY,KGS,17,778,,,
A1,TEA,ASSAM,INDONESIA,KGS,45000,137456,,,
